Project ID,Report Date,Number of Tasks Completed,Number of Tasks In Progress,Number of Delayed Tasks,Daily Progress Percentage
PRJ_027,2023-01-19,32,19,16,38.98
PRJ_027,2023-01-20,32,23,18,41.51
PRJ_027,2023-01-21,33,25,20,44.97
PRJ_027,2023-01-22,38,28,20,48.36
PRJ_028,2023-01-02,0,4,0,0.33
PRJ_028,2023-01-03,0,7,0,1.53
PRJ_028,2023-01-04,1,9,0,3.54
PRJ_028,2023-01-05,3,9,0,6.09
PRJ_028,2023-01-06,5,9,0,8.29
PRJ_028,2023-01-07,8,7,0,10.28
PRJ_028,2023-01-08,8,13,3,11.66
PRJ_028,2023-01-09,10,12,5,14.22
PRJ_028,2023-01-10,12,14,4,16.59
PRJ_028,2023-01-11,15,12,5,19.63
PRJ_028,2023-01-12,16,14,6,21.95
PRJ_028,2023-01-13,20,13,8,24.43
PRJ_028,2023-01-14,21,15,9,26.67
PRJ_028,2023-01-15,24,17,10,29.31
PRJ_028,2023-01-16,27,17,10,32.0
PRJ_028,2023-01-17,29,21,11,34.45
PRJ_028,2023-01-18,31,22,11,37.64
PRJ_028,2023-01-19,32,25,14,41.4
PRJ_028,2023-01-20,35,28,16,45.72
PRJ_028,2023-01-21,39,26,17,50.48
PRJ_028,2023-01-22,44,23,16,54.48
PRJ_029,2023-01-02,0,4,0,1.0
PRJ_029,2023-01-03,1,4,0,2.33
PRJ_029,2023-01-04,2,5,0,3.67
PRJ_029,2023-01-05,4,6,0,5.33
PRJ_029,2023-01-06,5,7,0,7.14
PRJ_029,2023-01-07,7,8,0,9.29
PRJ_029,2023-01-08,9,9,3,11.44
PRJ_029,2023-01-09,11,10,5,13.67
PRJ_029,2023-01-10,12,12,6,15.73
PRJ_029,2023-01-11,14,14,9,18.2
PRJ_029,2023-01-12,17,16,9,20.88
PRJ_029,2023-01-13,19,16,9,23.8
PRJ_029,2023-01-14,22,14,10,26.71
PRJ_029,2023-01-15,24,16,12,29.15
PRJ_029,2023-01-16,26,18,13,31.49
PRJ_029,2023-01-17,27,19,16,34.36
PRJ_029,2023-01-18,29,21,16,37.32
PRJ_029,2023-01-19,32,21,17,40.36
PRJ_029,2023-01-20,34,20,18,42.95
PRJ_029,2023-01-21,36,22,19,45.2
PRJ_029,2023-01-22,39,21,18,47.74
PRJ_030,2023-01-03,0,5,0,1.67
PRJ_030,2023-01-04,2,5,0,3.2
PRJ_030,2023-01-05,3,6,0,4.6
PRJ_030,2023-01-06,4,8,0,6.03
PRJ_030,2023-01-07,5,11,0,8.0
PRJ_030,2023-01-08,6,14,0,10.83
PRJ_030,2023-01-09,9,12,1,14.59
PRJ_030,2023-01-10,13,11,2,17.82
PRJ_030,2023-01-11,18,9,2,20.59
PRJ_030,2023-01-12,20,11,4,22.65
PRJ_030,2023-01-13,22,13,6,25.02
PRJ_030,2023-01-14,23,17,7,27.8
PRJ_030,2023-01-15,25,20,8,31.25
PRJ_030,2023-01-16,30,17,7,35.32
PRJ_030,2023-01-17,32,18,8,38.5
PRJ_030,2023-01-18,35,15,10,41.78
PRJ_030,2023-01-19,37,17,11,44.06
PRJ_030,2023-01-20,40,15,11,46.74
PRJ_030,2023-01-21,41,20,11,48.92
PRJ_030,2023-01-22,44,19,11,52.29
PRJ_031,2023-01-03,0,6,0,1.33
PRJ_031,2023-01-04,1,6,0,3.2
PRJ_031,2023-01-05,3,6,0,5.07
PRJ_031,2023-01-06,5,7,0,6.93
PRJ_031,2023-01-07,6,8,0,9.0
PRJ_031,2023-01-08,9,7,0,11.4
PRJ_031,2023-01-09,11,8,2,13.39
PRJ_031,2023-01-10,13,9,3,15.38
PRJ_031,2023-01-11,15,9,4,16.93
PRJ_031,2023-01-12,16,10,6,18.41
PRJ_031,2023-01-13,16,13,7,20.22
PRJ_031,2023-01-14,18,15,8,22.64
PRJ_031,2023-01-15,20,15,9,25.48
PRJ_031,2023-01-16,22,16,10,28.31
PRJ_031,2023-01-17,25,14,11,31.18
PRJ_031,2023-01-18,28,18,15,33.33
PRJ_031,2023-01-19,31,23,15,36.17
PRJ_031,2023-01-20,31,24,15,39.73
PRJ_031,2023-01-21,34,24,18,43.36
PRJ_031,2023-01-22,37,28,18,46.73
PRJ_032,2023-01-03,0,8,0,2.17
PRJ_032,2023-01-04,2,9,0,4.4
PRJ_032,2023-01-05,3,10,0,6.97
PRJ_032,2023-01-06,6,7,0,9.78
PRJ_032,2023-01-07,9,5,0,11.77
PRJ_032,2023-01-08,12,4,0,13.08
PRJ_032,2023-01-09,13,6,0,14.11
PRJ_032,2023-01-10,14,7,0,15.76
PRJ_032,2023-01-11,15,8,2,17.73
PRJ_032,2023-01-12,17,9,3,19.82
PRJ_032,2023-01-13,19,12,4,21.75
PRJ_032,2023-01-14,21,14,7,23.95
PRJ_032,2023-01-15,22,17,9,26.57
PRJ_032,2023-01-16,24,18,11,29.48
PRJ_032,2023-01-17,27,16,11,32.46
PRJ_032,2023-01-18,28,19,13,35.0
PRJ_032,2023-01-19,31,21,15,37.73
PRJ_032,2023-01-20,33,22,15,40.66
PRJ_032,2023-01-21,33,24,17,43.63
PRJ_032,2023-01-22,37,24,17,47.03
PRJ_033,2023-01-03,0,2,0,0.0
PRJ_033,2023-01-04,0,5,0,0.53
PRJ_033,2023-01-05,0,8,0,1.93
PRJ_033,2023-01-06,1,9,0,3.98
PRJ_033,2023-01-07,3,9,0,5.98
PRJ_033,2023-01-08,5,10,0,7.51
PRJ_033,2023-01-09,6,14,3,9.26
PRJ_033,2023-01-10,6,19,5,11.72
PRJ_033,2023-01-11,8,20,6,15.12
PRJ_033,2023-01-12,12,19,6,18.58
PRJ_033,2023-01-13,13,21,8,21.62
PRJ_033,2023-01-14,17,22,9,24.84
PRJ_033,2023-01-15,19,25,11,28.41
PRJ_033,2023-01-16,21,27,11,32.7
PRJ_033,2023-01-17,27,27,9,37.55
PRJ_033,2023-01-18,30,28,12,42.36
PRJ_033,2023-01-19,37,25,10,47.36
PRJ_033,2023-01-20,40,24,9,52.32
PRJ_033,2023-01-21,45,21,10,57.09
PRJ_033,2023-01-22,53,14,9,61.1
PRJ_034,2023-01-03,0,1,0,0.0
PRJ_034,2023-01-04,0,4,0,0.2
PRJ_034,2023-01-05,0,6,0,1.23
PRJ_034,2023-01-06,0,9,0,2.77
PRJ_034,2023-01-07,2,9,0,4.96
PRJ_034,2023-01-08,4,13,0,6.94
PRJ_034,2023-01-09,5,17,3,9.6
PRJ_034,2023-01-10,7,20,5,12.59
PRJ_034,2023-01-11,11,18,7,16.0
PRJ_034,2023-01-12,11,19,8,18.83
PRJ_034,2023-01-13,12,22,10,22.01
PRJ_034,2023-01-14,16,20,10,25.85
PRJ_034,2023-01-15,23,17,8,29.33
PRJ_034,2023-01-16,25,18,8,32.36
PRJ_034,2023-01-17,26,20,10,35.36
PRJ_034,2023-01-18,29,22,13,38.55
PRJ_034,2023-01-19,35,21,9,42.23
PRJ_034,2023-01-20,38,23,9,46.2
PRJ_034,2023-01-21,41,23,11,50.58
PRJ_034,2023-01-22,46,22,10,54.55
PRJ_035,2023-01-03,0,5,0,1.25
PRJ_035,2023-01-04,1,5,0,2.75
PRJ_035,2023-01-05,2,5,0,4.12
PRJ_035,2023-01-06,4,6,0,5.35
PRJ_035,2023-01-07,5,7,0,6.64
PRJ_035,2023-01-08,5,10,0,8.27
PRJ_035,2023-01-09,7,13,2,10.73
PRJ_035,2023-01-10,9,14,2,13.41
PRJ_035,2023-01-11,13,13,3,16.13
PRJ_035,2023-01-12,13,16,6,18.52
PRJ_035,2023-01-13,15,17,9,21.65
PRJ_035,2023-01-14,17,20,9,25.2
PRJ_035,2023-01-15,22,17,10,29.18
PRJ_035,2023-01-16,27,17,9,32.39
PRJ_035,2023-01-17,29,18,11,35.44
PRJ_035,2023-01-18,33,18,10,38.35
PRJ_035,2023-01-19,36,17,12,41.44
PRJ_035,2023-01-20,37,20,13,44.06
PRJ_035,2023-01-21,39,18,14,47.21
PRJ_035,2023-01-22,40,24,15,49.69
PRJ_036,2023-01-03,0,4,0,0.67
PRJ_036,2023-01-04,1,4,0,1.83
PRJ_036,2023-01-05,1,5,0,2.92
PRJ_036,2023-01-06,2,9,0,4.25
PRJ_036,2023-01-07,4,7,0,6.14
PRJ_036,2023-01-08,5,11,0,7.52
PRJ_036,2023-01-09,6,13,3,9.39
PRJ_036,2023-01-10,7,17,6,11.87
PRJ_036,2023-01-11,9,20,6,15.48
PRJ_036,2023-01-12,12,18,7,19.72
PRJ_036,2023-01-13,16,19,9,23.38
PRJ_036,2023-01-14,20,18,10,26.94
PRJ_036,2023-01-15,23,17,11,29.99
PRJ_036,2023-01-16,27,16,11,32.82
PRJ_036,2023-01-17,29,18,11,35.27
PRJ_036,2023-01-18,31,20,11,37.78
PRJ_036,2023-01-19,34,19,10,40.78
PRJ_036,2023-01-20,35,20,12,43.68
PRJ_036,2023-01-21,39,20,12,46.76
PRJ_036,2023-01-22,40,22,14,49.23
PRJ_037,2023-01-03,0,2,0,0.33
PRJ_037,2023-01-04,0,4,0,1.0
PRJ_037,2023-01-05,1,5,0,2.33
PRJ_037,2023-01-06,2,7,0,3.81
PRJ_037,2023-01-07,4,10,0,5.79
PRJ_037,2023-01-08,5,11,0,8.16
PRJ_037,2023-01-09,7,10,4,10.88
PRJ_037,2023-01-10,9,13,6,13.12
PRJ_037,2023-01-11,11,14,8,15.65
PRJ_037,2023-01-12,13,16,8,18.08
PRJ_037,2023-01-13,16,17,9,21.06
PRJ_037,2023-01-14,18,18,10,23.92
PRJ_037,2023-01-15,20,20,10,26.86
PRJ_037,2023-01-16,23,22,10,30.37
PRJ_037,2023-01-17,25,24,13,34.23
PRJ_037,2023-01-18,30,20,12,38.49
PRJ_037,2023-01-19,33,21,12,41.7
PRJ_037,2023-01-20,36,20,13,44.91
PRJ_037,2023-01-21,37,21,14,47.79
PRJ_037,2023-01-22,42,19,14,50.73
PRJ_038,2023-01-03,0,8,0,3.0
PRJ_038,2023-01-04,3,6,0,5.53
PRJ_038,2023-01-05,6,4,0,7.4
PRJ_038,2023-01-06,7,5,0,8.6
PRJ_038,2023-01-07,8,7,0,9.97
PRJ_038,2023-01-08,10,10,0,11.7
PRJ_038,2023-01-09,11,10,0,14.13
PRJ_038,2023-01-10,12,10,0,16.57
PRJ_038,2023-01-11,14,13,2,19.0
PRJ_038,2023-01-12,17,12,4,21.86
PRJ_038,2023-01-13,21,10,4,24.43
PRJ_038,2023-01-14,24,10,3,26.51
PRJ_038,2023-01-15,25,12,6,28.38
PRJ_038,2023-01-16,27,14,7,30.93
PRJ_038,2023-01-17,28,16,8,33.62
PRJ_038,2023-01-18,31,16,11,36.72
PRJ_038,2023-01-19,34,18,11,39.35
PRJ_038,2023-01-20,36,17,12,42.02
PRJ_038,2023-01-21,38,20,14,44.35
PRJ_038,2023-01-22,40,20,15,47.35
PRJ_039,2023-01-03,0,2,0,1.0
PRJ_039,2023-01-04,1,6,0,1.67
PRJ_039,2023-01-05,2,6,0,3.2
PRJ_039,2023-01-06,2,7,0,4.6
PRJ_039,2023-01-07,4,10,0,6.25
PRJ_039,2023-01-08,4,12,0,8.12
PRJ_039,2023-01-09,5,13,3,10.32
PRJ_039,2023-01-10,10,12,2,12.85
PRJ_039,2023-01-11,10,17,4,15.08
PRJ_039,2023-01-12,12,19,6,18.14
PRJ_039,2023-01-13,14,21,7,21.56
PRJ_039,2023-01-14,18,18,8,25.32
PRJ_039,2023-01-15,19,21,10,28.25
PRJ_039,2023-01-16,23,19,11,31.32
PRJ_039,2023-01-17,27,20,10,34.02
PRJ_039,2023-01-18,29,22,10,37.07
PRJ_039,2023-01-19,32,23,9,40.39
PRJ_039,2023-01-20,34,24,10,43.8
PRJ_039,2023-01-21,36,26,11,47.35
PRJ_039,2023-01-22,40,23,11,51.41
PRJ_040,2023-01-03,0,2,0,0.0
PRJ_040,2023-01-04,0,6,0,0.53
PRJ_040,2023-01-05,0,9,0,2.23
PRJ_040,2023-01-06,1,12,0,4.77
PRJ_040,2023-01-07,4,9,0,7.7
PRJ_040,2023-01-08,7,9,0,9.64
PRJ_040,2023-01-09,8,9,3,11.25
PRJ_040,2023-01-10,9,10,5,12.73
PRJ_040,2023-01-11,11,10,6,14.71
PRJ_040,2023-01-12,12,11,6,16.44
PRJ_040,2023-01-13,14,15,7,18.66
PRJ_040,2023-01-14,16,15,8,21.38
PRJ_040,2023-01-15,19,16,10,24.22
PRJ_040,2023-01-16,21,19,12,27.09
PRJ_040,2023-01-17,24,19,13,29.84
PRJ_040,2023-01-18,28,20,14,32.71
PRJ_040,2023-01-19,28,23,16,35.67
PRJ_040,2023-01-20,30,27,17,38.89
PRJ_040,2023-01-21,33,27,18,42.52
PRJ_040,2023-01-22,33,29,19,46.24
PRJ_041,2023-01-03,0,5,0,2.0
PRJ_041,2023-01-04,2,6,0,3.67
PRJ_041,2023-01-05,4,6,0,5.67
PRJ_041,2023-01-06,5,6,0,7.67
PRJ_041,2023-01-07,8,6,0,9.5
PRJ_041,2023-01-08,10,8,0,11.11
PRJ_041,2023-01-09,10,9,2,13.26
PRJ_041,2023-01-10,12,12,3,15.51
PRJ_041,2023-01-11,15,12,5,18.02
PRJ_041,2023-01-12,16,14,5,20.26
PRJ_041,2023-01-13,19,13,6,23.12
PRJ_041,2023-01-14,20,16,8,25.69
PRJ_041,2023-01-15,22,18,10,28.47
PRJ_041,2023-01-16,26,17,9,31.28
PRJ_041,2023-01-17,27,21,10,33.89
PRJ_041,2023-01-18,30,21,11,37.47
PRJ_041,2023-01-19,31,22,13,40.91
PRJ_041,2023-01-20,35,21,12,44.26
PRJ_041,2023-01-21,38,20,12,47.25
PRJ_041,2023-01-22,41,20,13,50.26
PRJ_042,2023-01-03,0,8,0,2.67
PRJ_042,2023-01-04,3,7,0,5.2
PRJ_042,2023-01-05,5,7,0,7.32
PRJ_042,2023-01-06,7,10,0,9.43
PRJ_042,2023-01-07,8,13,0,12.08
PRJ_042,2023-01-08,12,11,0,15.63
PRJ_042,2023-01-09,14,10,0,18.53
PRJ_042,2023-01-10,17,10,1,20.97
PRJ_042,2023-01-11,21,8,1,23.4
PRJ_042,2023-01-12,21,10,2,25.52
PRJ_042,2023-01-13,24,7,3,28.17
PRJ_042,2023-01-14,28,8,2,29.82
PRJ_042,2023-01-15,29,11,2,31.58
PRJ_042,2023-01-16,30,14,3,34.04
PRJ_042,2023-01-17,33,13,6,37.24
PRJ_042,2023-01-18,36,13,6,39.98
PRJ_042,2023-01-19,38,16,7,42.34
PRJ_042,2023-01-20,40,20,9,45.31
PRJ_042,2023-01-21,42,21,10,49.28
PRJ_042,2023-01-22,44,22,11,53.25
PRJ_043,2023-01-03,0,7,0,1.0
PRJ_043,2023-01-04,0,11,0,3.2
PRJ_043,2023-01-05,3,9,0,6.73
PRJ_043,2023-01-06,6,6,0,9.6
PRJ_043,2023-01-07,10,3,0,11.47
PRJ_043,2023-01-08,12,2,0,12.33
PRJ_043,2023-01-09,12,5,3,12.87
PRJ_043,2023-01-10,13,9,3,14.4
PRJ_043,2023-01-11,13,11,3,16.36
PRJ_043,2023-01-12,16,10,3,18.99
PRJ_043,2023-01-13,18,9,5,21.08
PRJ_043,2023-01-14,20,10,7,22.97
PRJ_043,2023-01-15,22,12,10,24.68
PRJ_043,2023-01-16,23,16,12,26.45
PRJ_043,2023-01-17,24,16,12,28.64
PRJ_043,2023-01-18,25,16,15,30.63
PRJ_043,2023-01-19,26,21,16,32.61
PRJ_043,2023-01-20,27,24,17,35.23
PRJ_043,2023-01-21,29,25,20,38.36
PRJ_043,2023-01-22,30,29,21,41.44
PRJ_044,2023-01-03,0,3,0,1.0
PRJ_044,2023-01-04,1,3,0,1.87
PRJ_044,2023-01-05,2,7,0,2.73
PRJ_044,2023-01-06,2,10,0,4.51
PRJ_044,2023-01-07,3,10,0,6.94
PRJ_044,2023-01-08,6,9,0,9.38
PRJ_044,2023-01-09,8,11,2,11.39
PRJ_044,2023-01-10,10,15,4,13.91
PRJ_044,2023-01-11,12,14,6,17.1
PRJ_044,2023-01-12,15,15,7,19.92
PRJ_044,2023-01-13,18,14,7,22.74
PRJ_044,2023-01-14,19,17,8,25.17
PRJ_044,2023-01-15,22,18,11,28.56
PRJ_044,2023-01-16,24,23,12,32.11
PRJ_044,2023-01-17,29,19,10,36.42
PRJ_044,2023-01-18,33,18,10,39.79
PRJ_044,2023-01-19,37,15,11,42.86
PRJ_044,2023-01-20,39,17,12,44.91
PRJ_044,2023-01-21,41,19,13,47.15
PRJ_044,2023-01-22,41,21,13,49.85
PRJ_045,2023-01-04,0,6,0,1.58
PRJ_045,2023-01-05,1,8,0,3.5
PRJ_045,2023-01-06,3,8,0,6.08
PRJ_045,2023-01-07,6,8,0,8.53
PRJ_045,2023-01-08,9,8,0,10.72
PRJ_045,2023-01-09,10,11,0,12.48
PRJ_045,2023-01-10,11,14,2,14.76
PRJ_045,2023-01-11,13,13,3,17.74
PRJ_045,2023-01-12,15,12,3,20.52
PRJ_045,2023-01-13,17,12,3,23.11
PRJ_045,2023-01-14,19,13,5,25.52
PRJ_045,2023-01-15,24,12,3,28.24
PRJ_045,2023-01-16,27,11,3,30.81
PRJ_045,2023-01-17,29,12,5,33.17
PRJ_045,2023-01-18,31,14,5,35.64
PRJ_045,2023-01-19,34,15,7,38.05
PRJ_045,2023-01-20,36,18,8,40.59
PRJ_045,2023-01-21,38,19,9,43.64
PRJ_045,2023-01-22,41,18,10,47.1
PRJ_046,2023-01-04,0,8,0,2.58
PRJ_046,2023-01-05,2,8,0,5.17
PRJ_046,2023-01-06,5,7,0,7.75
PRJ_046,2023-01-07,8,8,0,9.92
PRJ_046,2023-01-08,10,9,0,11.99
PRJ_046,2023-01-09,11,9,0,14.18
PRJ_046,2023-01-10,13,10,1,16.24
PRJ_046,2023-01-11,14,13,1,18.45
PRJ_046,2023-01-12,16,11,2,21.28
PRJ_046,2023-01-13,19,10,1,23.67
PRJ_046,2023-01-14,22,9,2,25.93
PRJ_046,2023-01-15,25,10,1,27.79
PRJ_046,2023-01-16,26,10,2,30.03
PRJ_046,2023-01-17,29,10,4,32.28
PRJ_046,2023-01-18,30,14,6,34.6
PRJ_046,2023-01-19,33,13,7,37.33
PRJ_046,2023-01-20,36,13,9,39.77
PRJ_046,2023-01-21,37,16,10,41.68
PRJ_046,2023-01-22,39,20,11,43.83
PRJ_047,2023-01-04,0,3,0,1.0
PRJ_047,2023-01-05,1,6,0,1.87
PRJ_047,2023-01-06,2,9,0,3.6
PRJ_047,2023-01-07,2,9,0,6.07
PRJ_047,2023-01-08,5,7,0,8.53
PRJ_047,2023-01-09,8,5,0,10.33
PRJ_047,2023-01-10,9,7,2,11.6
PRJ_047,2023-01-11,12,8,3,13.67
PRJ_047,2023-01-12,13,8,4,15.61
PRJ_047,2023-01-13,16,9,5,17.3
PRJ_047,2023-01-14,17,9,6,19.07
PRJ_047,2023-01-15,17,9,9,20.58
PRJ_047,2023-01-16,20,12,12,22.09
PRJ_047,2023-01-17,20,17,14,23.44
PRJ_047,2023-01-18,20,20,14,25.7
PRJ_047,2023-01-19,22,22,16,28.58
PRJ_047,2023-01-20,24,28,19,31.98
PRJ_047,2023-01-21,26,29,19,35.91
PRJ_047,2023-01-22,28,28,22,40.04
PRJ_048,2023-01-04,0,5,0,2.08
PRJ_048,2023-01-05,1,7,0,3.58
PRJ_048,2023-01-06,4,5,0,5.48
PRJ_048,2023-01-07,5,6,0,6.72
PRJ_048,2023-01-08,6,9,0,8.15
PRJ_048,2023-01-09,6,14,0,9.82
PRJ_048,2023-01-10,9,14,1,12.71
PRJ_048,2023-01-11,10,14,1,15.47
PRJ_048,2023-01-12,13,14,3,18.07
PRJ_048,2023-01-13,15,16,5,20.4
PRJ_048,2023-01-14,16,18,6,22.91
PRJ_048,2023-01-15,19,20,6,25.84
PRJ_048,2023-01-16,21,22,6,29.05
PRJ_048,2023-01-17,23,25,6,32.84
PRJ_048,2023-01-18,25,24,7,37.09
PRJ_048,2023-01-19,30,23,8,41.39
PRJ_048,2023-01-20,37,19,6,45.55
PRJ_048,2023-01-21,42,18,6,49.07
PRJ_048,2023-01-22,45,17,5,52.42
PRJ_049,2023-01-04,0,5,0,0.92
PRJ_049,2023-01-05,1,7,0,2.33
PRJ_049,2023-01-06,1,8,0,4.2
PRJ_049,2023-01-07,3,11,0,6.21
PRJ_049,2023-01-08,6,11,0,8.71
PRJ_049,2023-01-09,7,12,0,11.09
PRJ_049,2023-01-10,10,12,3,13.54
PRJ_049,2023-01-11,11,17,3,15.78
PRJ_049,2023-01-12,12,20,3,19.12
PRJ_049,2023-01-13,15,19,4,22.94
PRJ_049,2023-01-14,17,24,7,26.6
PRJ_049,2023-01-15,23,20,5,31.22
PRJ_049,2023-01-16,28,17,4,35.15
PRJ_049,2023-01-17,31,19,5,38.55
PRJ_049,2023-01-18,34,16,5,42.26
PRJ_049,2023-01-19,37,14,5,45.34
PRJ_049,2023-01-20,44,12,4,48.09
PRJ_049,2023-01-21,45,15,3,50.38
PRJ_049,2023-01-22,47,16,3,53.17
PRJ_050,2023-01-04,0,5,0,1.67
PRJ_050,2023-01-05,2,7,0,3.33
PRJ_050,2023-01-06,3,8,0,5.67
PRJ_050,2023-01-07,5,7,0,8.2
PRJ_050,2023-01-08,9,4,0,10.4
PRJ_050,2023-01-09,10,3,0,11.6
PRJ_050,2023-01-10,11,2,2,12.47
PRJ_050,2023-01-11,13,3,4,13.0
PRJ_050,2023-01-12,13,7,4,13.49
PRJ_050,2023-01-13,13,10,4,14.59
PRJ_050,2023-01-14,14,10,6,16.55
PRJ_050,2023-01-15,15,12,8,18.39
PRJ_050,2023-01-16,17,15,11,20.37
PRJ_050,2023-01-17,17,18,14,22.71
PRJ_050,2023-01-18,19,24,17,25.54
PRJ_050,2023-01-19,22,25,19,29.31
PRJ_050,2023-01-20,24,25,19,32.65
PRJ_050,2023-01-21,28,24,20,35.69
PRJ_050,2023-01-22,28,29,23,38.27
PRJ_051,2023-01-04,0,5,0,1.67
PRJ_051,2023-01-05,2,7,0,3.07
PRJ_051,2023-01-06,3,7,0,4.92
PRJ_051,2023-01-07,3,8,0,6.77
PRJ_051,2023-01-08,5,9,0,8.74
PRJ_051,2023-01-09,9,8,0,11.05
PRJ_051,2023-01-10,10,9,0,12.94
PRJ_051,2023-01-11,13,11,1,15.08
PRJ_051,2023-01-12,14,13,3,17.24
PRJ_051,2023-01-13,15,15,5,19.85
PRJ_051,2023-01-14,16,17,7,22.74
PRJ_051,2023-01-15,19,19,9,26.2
PRJ_051,2023-01-16,22,18,10,29.89
PRJ_051,2023-01-17,26,16,10,33.23
PRJ_051,2023-01-18,31,12,9,35.98
PRJ_051,2023-01-19,34,12,8,37.84
PRJ_051,2023-01-20,36,14,9,40.05
PRJ_051,2023-01-21,37,18,10,42.42
PRJ_051,2023-01-22,39,21,12,45.47
PRJ_052,2023-01-04,0,6,0,1.33
PRJ_052,2023-01-05,1,8,0,3.25
PRJ_052,2023-01-06,3,8,0,5.75
PRJ_052,2023-01-07,5,8,0,8.17
PRJ_052,2023-01-08,8,7,0,10.45
PRJ_052,2023-01-09,10,6,0,12.48
PRJ_052,2023-01-10,12,6,3,14.27
PRJ_052,2023-01-11,14,8,3,15.89
PRJ_052,2023-01-12,16,9,3,17.59
PRJ_052,2023-01-13,17,11,3,19.32
PRJ_052,2023-01-14,18,13,5,21.41
PRJ_052,2023-01-15,20,14,7,23.72
PRJ_052,2023-01-16,21,15,9,25.94
PRJ_052,2023-01-17,22,17,11,28.31
PRJ_052,2023-01-18,24,20,12,30.88
PRJ_052,2023-01-19,26,23,13,34.19
PRJ_052,2023-01-20,28,25,14,38.21
PRJ_052,2023-01-21,33,23,14,42.6
PRJ_052,2023-01-22,37,22,16,46.46
PRJ_053,2023-01-04,0,5,0,2.0
PRJ_053,2023-01-05,3,5,0,3.67
PRJ_053,2023-01-06,3,6,0,5.33
PRJ_053,2023-01-07,5,7,0,7.33
PRJ_053,2023-01-08,8,5,0,9.46
PRJ_053,2023-01-09,9,7,0,10.92
PRJ_053,2023-01-10,11,9,1,12.91
PRJ_053,2023-01-11,12,15,4,15.22
PRJ_053,2023-01-12,14,15,5,18.57
PRJ_053,2023-01-13,16,14,6,21.66
PRJ_053,2023-01-14,19,13,8,24.16
PRJ_053,2023-01-15,23,11,7,26.2
PRJ_053,2023-01-16,23,17,9,27.87
PRJ_053,2023-01-17,25,19,9,30.93
PRJ_053,2023-01-18,27,20,8,34.36
PRJ_053,2023-01-19,29,21,10,37.87
PRJ_053,2023-01-20,34,19,11,41.5
PRJ_053,2023-01-21,36,22,13,44.64
PRJ_053,2023-01-22,39,21,13,47.95
PRJ_054,2023-01-04,0,5,0,2.0
PRJ_054,2023-01-05,2,7,0,3.53
PRJ_054,2023-01-06,4,5,0,5.43
PRJ_054,2023-01-07,4,8,0,6.67
PRJ_054,2023-01-08,6,9,0,8.55
PRJ_054,2023-01-09,7,11,0,10.56
PRJ_054,2023-01-10,8,10,1,12.88
PRJ_054,2023-01-11,12,11,0,15.0
PRJ_054,2023-01-12,14,9,3,17.25
PRJ_054,2023-01-13,14,14,3,19.1
PRJ_054,2023-01-14,18,12,5,22.26
PRJ_054,2023-01-15,19,17,6,24.65
PRJ_054,2023-01-16,24,15,7,27.71
PRJ_054,2023-01-17,24,17,9,29.95
PRJ_054,2023-01-18,27,16,10,32.85
PRJ_054,2023-01-19,29,20,11,35.52
PRJ_054,2023-01-20,31,19,13,39.1
PRJ_054,2023-01-21,34,20,11,42.35
PRJ_054,2023-01-22,37,23,15,46.07
PRJ_055,2023-01-04,0,6,0,1.67
PRJ_055,2023-01-05,2,5,0,3.67
PRJ_055,2023-01-06,3,7,0,5.33
PRJ_055,2023-01-07,6,4,0,7.5
PRJ_055,2023-01-08,7,4,0,8.67
PRJ_055,2023-01-09,9,4,0,9.83
PRJ_055,2023-01-10,9,9,2,10.68
PRJ_055,2023-01-11,10,11,4,12.58
PRJ_055,2023-01-12,11,10,3,14.62
PRJ_055,2023-01-13,14,11,6,16.49
PRJ_055,2023-01-14,14,15,7,18.23
PRJ_055,2023-01-15,14,18,10,20.82
PRJ_055,2023-01-16,18,20,11,24.07
PRJ_055,2023-01-17,20,22,12,27.54
PRJ_055,2023-01-18,22,21,13,30.96
PRJ_055,2023-01-19,28,20,13,34.17
PRJ_055,2023-01-20,30,21,15,37.31
PRJ_055,2023-01-21,31,24,17,40.52
PRJ_055,2023-01-22,35,24,17,43.78
PRJ_056,2023-01-04,0,7,0,2.53
PRJ_056,2023-01-05,3,6,0,4.73
PRJ_056,2023-01-06,4,6,0,6.52
PRJ_056,2023-01-07,6,8,0,8.17
PRJ_056,2023-01-08,8,10,0,10.16
PRJ_056,2023-01-09,9,10,0,12.55
PRJ_056,2023-01-10,11,11,0,15.01
PRJ_056,2023-01-11,13,12,2,17.55
PRJ_056,2023-01-12,16,11,2,20.36
PRJ_056,2023-01-13,18,12,3,22.81
PRJ_056,2023-01-14,21,12,4,25.49
PRJ_056,2023-01-15,25,12,4,27.98
PRJ_056,2023-01-16,27,12,5,30.15
PRJ_056,2023-01-17,28,14,6,32.07
PRJ_056,2023-01-18,29,16,7,34.07
PRJ_056,2023-01-19,31,15,9,36.3
PRJ_056,2023-01-20,32,19,11,38.19
PRJ_056,2023-01-21,32,25,11,40.88
PRJ_056,2023-01-22,34,26,12,44.61
PRJ_057,2023-01-04,0,4,0,1.33
PRJ_057,2023-01-05,2,6,0,2.53
PRJ_057,2023-01-06,2,8,0,4.27
PRJ_057,2023-01-07,3,9,0,6.67
PRJ_057,2023-01-08,6,9,0,9.27
PRJ_057,2023-01-09,9,8,0,11.87
PRJ_057,2023-01-10,11,6,1,14.13
